年份,月份, 行政區 , 遷入人數 , 遷出人數 ,住址變更人數_入,住址變更人數_出,出生人數,死亡人數
109,1,  總計 ,9138,11330,4842,4842,1507,1479
109,1,  松山區 ,816,917,394,394,77,126
109,1,  信義區 ,616,913,327,327,148,128
109,1,  大安區 ,1275,1377,491,491,175,178
109,1,  中山區 ,875,1028,357,357,139,107
109,1,  中正區 ,756,1015,269,269,69,81
109,1,  大同區 ,484,614,231,231,77,81
109,1,  萬華區 ,635,826,346,346,126,163
109,1,  文山區 ,871,995,569,569,133,141
109,1,  南港區 ,429,567,193,193,67,65
109,1,  內湖區 ,873,1189,645,645,175,128
109,1,  士林區 ,804,982,546,546,156,155
109,1,  北投區 ,704,907,474,474,165,126
109,2,  總計 ,9815,13648,5554,5554,1651,1611
109,2,  松山區 ,805,1185,543,543,109,114
109,2,  信義區 ,701,1144,351,351,161,147
109,2,  大安區 ,1196,1570,479,479,161,184
109,2,  中山區 ,965,1371,408,408,134,142
109,2,  中正區 ,881,1061,225,225,105,101
109,2,  大同區 ,561,719,285,285,94,90
109,2,  萬華區 ,637,1003,431,431,114,168
109,2,  文山區 ,890,1238,643,643,150,137
109,2,  南港區 ,533,676,246,246,77,67
109,2,  內湖區 ,936,1296,676,676,200,138
109,2,  士林區 ,829,1349,611,611,185,173
109,2,  北投區 ,881,1036,656,656,161,150
109,3,  總計 ,10092,13950,6479,6479,1661,1601
109,3,  松山區 ,853,1186,476,476,118,128
109,3,  信義區 ,692,1260,339,339,158,141
109,3,  大安區 ,1242,1699,497,497,160,172
109,3,  中山區 ,932,1356,533,533,159,132
109,3,  中正區 ,898,976,266,266,81,94
109,3,  大同區 ,588,766,332,332,76,88
109,3,  萬華區 ,670,1020,542,542,103,148
109,3,  文山區 ,924,1242,741,741,164,157
109,3,  南港區 ,668,754,449,449,78,54
109,3,  內湖區 ,970,1313,764,764,206,147
109,3,  士林區 ,818,1305,721,721,180,173
109,3,  北投區 ,837,1073,819,819,178,167
109,4,  總計 ,7783,12041,5030,5030,1548,1493
109,4,  松山區 ,668,1066,378,378,111,98
109,4,  信義區 ,609,992,291,291,123,132
109,4,  大安區 ,947,1427,432,432,142,161
109,4,  中山區 ,851,1213,476,476,145,140
109,4,  中正區 ,606,870,241,241,76,90
109,4,  大同區 ,395,583,278,278,87,90
109,4,  萬華區 ,478,836,395,395,105,133
109,4,  文山區 ,687,1163,657,657,148,135
109,4,  南港區 ,515,601,249,249,84,72
109,4,  內湖區 ,771,1142,593,593,198,118
109,4,  士林區 ,628,1091,451,451,181,176
109,4,  北投區 ,628,1057,589,589,148,148
109,5,  總計 ,9178,13898,6021,6021,1399,1377
109,5,  松山區 ,752,1163,438,438,112,84
109,5,  信義區 ,645,1173,337,337,129,116
109,5,  大安區 ,1303,1840,626,626,148,156
109,5,  中山區 ,942,1295,515,515,124,107
109,5,  中正區 ,726,1037,279,279,81,84
109,5,  大同區 ,497,706,322,322,66,79
109,5,  萬華區 ,610,978,417,417,127,151
109,5,  文山區 ,869,1287,724,724,125,128
109,5,  南港區 ,527,656,279,279,63,67
109,5,  內湖區 ,887,1315,809,809,153,110
109,5,  士林區 ,726,1236,589,589,139,153
109,5,  北投區 ,694,1212,686,686,132,142
109,6,  總計 ,9630,12191,5984,5984,1701,1382
109,6,  松山區 ,764,999,463,463,124,110
109,6,  信義區 ,701,1018,334,334,151,122
109,6,  大安區 ,1329,1581,617,617,170,145
109,6,  中山區 ,969,1064,486,486,148,103
109,6,  中正區 ,860,1000,284,284,81,79
109,6,  大同區 ,542,638,365,365,86,79
109,6,  萬華區 ,626,950,430,430,118,152
